"ENSEMBL","SYMBOL","gene_type","strand","chrom","dBGLF5_Latent_c2-1","dBGLF5_Late_c2-1","dBGLF5_Latent_c2-2","dBGLF5_Late_c2-2","dBGLF5_Latent_c2-3","dBGLF5_Late_c2-3","log2FoldChange","pvalue","padj","dBGLF5_Latent_groupMean","dBGLF5_Late_groupMean","baseMean"
"ENSG00000000419","DPM1","protein_coding","-","chr20",0,10.4645003287959,0,9.29102830489741,1.55564670425327,10.5932337030681,3.32432784145654,0.00203060263580496,0.00725420234911242,0.518548901417758,10.1162541122538,5.31740150683577
"ENSG00000000457","SCYL3","protein_coding","-","chr1",1.29755217472586,4.57821889384819,1.43683381389798,13.9365424573461,1.55564670425327,9.18080254265901,1.88213655760928,0.0181386562274192,0.0429339922643741,1.4300108976257,9.23185463128444,5.33093276445507
"ENSG00000000460","FIRRM","protein_coding","+","chr1",7.78531304835514,7.19434397604715,1.43683381389798,7.74252358741451,0,12.7118804436817,0.93236384783751,0.121052334163057,0.197274083963491,3.07404895408437,9.21624933571445,6.14514914489941
"ENSG00000000938","FGR","protein_coding","-","chr1",3.89265652417757,7.8483752465969,1.43683381389798,1.5485047174829,4.66694011275982,9.18080254265901,0.475153592549082,0.379510743656773,0.486910357661164,3.33214348361179,6.1925608355796,4.7623521595957
"ENSG00000000971","CFH","protein_coding","+","chr1",0,0,0,0.774252358741451,0,0.706215580204539,0.141015164693226,0.817546802366654,NA,0,0.493489312981997,0.246744656490998
"ENSG00000001036","FUCA2","protein_coding","-","chr6",5.19020869890342,9.15643778769638,7.18416906948992,16.2592995335705,3.11129340850655,11.2994492832726,0.89256664865637,0.098918298168527,0.167455260646755,5.16189039229996,12.2383955348465,8.70014296357323
"ENSG00000001167","NFYA","protein_coding","+","chr6",0,0,0,1.5485047174829,1.55564670425327,1.41243116040908,0.136941245237998,0.698067574117673,NA,0.518548901417758,0.986978625963993,0.752763763690875
"ENSG00000001460","STPG1","protein_coding","-","chr1",3.89265652417757,4.57821889384819,1.43683381389798,6.19401886993161,1.55564670425327,3.53107790102269,0.513405738079255,0.349304750436441,0.455251622781296,2.29504568077627,4.7677718882675,3.53140878452189
"ENSG00000001461","NIPAL3","protein_coding","+","chr1",1.29755217472586,20.274969387042,4.31050144169395,21.6790660447606,0,31.0734855289997,3.29288235973437,4.57695932867194e-05,0.000321054473011189,1.86935120547327,24.3425069869341,13.1059290962037
"ENSG00000001497","LAS1L","protein_coding","-","chrX",0,3.27015635274871,0,3.87126179370726,0,9.18080254265901,3.31628680467616,0.00710090477781142,0.020158693521565,0,5.44074022970499,2.72037011485249
"ENSG00000001561","ENPP4","protein_coding","+","chr6",0,7.19434397604715,0,4.64551415244871,3.11129340850655,5.64972464163631,1.35714462707739,0.0631289027322757,0.116732182281355,1.03709780283552,5.82986092337739,3.43347936310645
"ENSG00000001626","CFTR","protein_coding","+","chr7",2.59510434945171,9.15643778769638,1.43683381389798,9.29102830489741,1.55564670425327,5.64972464163631,1.37678887074121,0.045223045895685,0.0894507202749572,1.86252828920099,8.03239691141003,4.94746260030551
"ENSG00000001629","ANKIB1","protein_coding","+","chr7",5.19020869890342,28.1233446336389,1.43683381389798,20.1305613272777,0,9.88701812286354,2.58496105694166,0.000940452154647482,0.00382038022440424,2.2090141709338,19.3803080279267,10.7946610994303
"ENSG00000001631","KRIT1","protein_coding","-","chr7",3.89265652417757,9.81046905824612,8.6210028833879,12.3880377398632,1.55564670425327,9.88701812286354,0.807867265885447,0.14030835110196,0.221254424588156,4.68976870393958,10.6951749736576,7.6924718387986
"ENSG00000002330","BAD","protein_coding","-","chr11",6.48776087362928,0,1.43683381389798,1.5485047174829,0,2.82486232081816,-0.263097744256803,0.575978976396172,0.674072921587648,2.64153156250909,1.45778901276702,2.04966028763805
"ENSG00000002549","LAP3","protein_coding","+","chr4",6.48776087362928,3.92418762329845,0,6.19401886993161,7.77823352126637,18.361605085318,0.55819047374012,0.306479861536121,0.412722131219471,4.75533146496521,9.49327052618269,7.12430099557395
"ENSG00000002586","CD99","protein_coding","+","chrX",0,0,0,0,0,0,NA,NA,NA,0,0,0
"ENSG00000002726","AOC1","protein_coding","+","chr7",0,7.8483752465969,0,0.774252358741451,0,8.47458696245447,3.18603292755863,0.00908885830844871,0.0245855137119509,0,5.6990715225976,2.8495357612988
"ENSG00000002834","LASP1","protein_coding","+","chr17",2.59510434945171,13.0806254109948,2.87366762779597,41.0353750132969,3.11129340850655,43.7853659726814,3.17888951068555,1.67641371410226e-05,0.000142874964379969,2.86002179525141,32.633788798991,17.7469052971212
"ENSG00000002919","SNX11","protein_coding","+","chr17",15.5706260967103,8.50240651714664,21.5525072084697,8.51677594615596,23.3347005637991,13.4180960238862,-0.803161138106263,0.0744261037607574,0.133439144651405,20.1526112896597,10.1457594957296,15.1491853926947
"ENSG00000002933","TMEM176A","protein_coding","+","chr7",5.19020869890342,40.549938774084,15.8051719528778,56.5204221881259,12.4451736340262,64.9718333788176,2.1252844348216,7.30779961643921e-06,7.27004714609598e-05,11.1468514286025,54.0140647803425,32.5804581044725
"ENSG00000003056","M6PR","protein_coding","-","chr12",3.89265652417757,26.1612508219897,2.87366762779597,35.6156085021068,0,48.0226594539086,3.66796938117953,1.00861621453444e-06,1.48052412761426e-05,2.25544138399118,36.5998395926684,19.4276404883298
"ENSG00000003147","ICA1","protein_coding","-","chr7",3.89265652417757,7.8483752465969,4.31050144169395,6.19401886993161,1.55564670425327,3.53107790102269,0.462787897424143,0.389642122740676,0.496522055888859,3.2529348900416,5.8578240058504,4.555379447946
"ENSG00000003249","DBNDD1","protein_coding","-","chr16",0,0,0,0.774252358741451,0,2.82486232081816,0.311892312204313,0.443105773598101,NA,0,1.19970489318654,0.599852446593268
"ENSG00000003393","ALS2","protein_coding","-","chr2",0,9.15643778769638,1.43683381389798,12.3880377398632,3.11129340850655,12.7118804436817,2.29784865552126,0.00586397562740074,0.0172841963828051,1.51604240746818,11.4187853237471,6.46741386560764
