"ENSEMBL","SYMBOL","gene_type","strand","chrom","WT_Latent_c3-1","WT_Early_c3-1","WT_Latent_c3-2","WT_Early_c3-2","WT_Latent_c3-3","WT_Early_c3-3","WT_Latent_c4-1","WT_Early_c4-1","WT_Latent_c4-2","WT_Early_c4-2","log2FoldChange","pvalue","padj","WT_Latent_groupMean","WT_Early_groupMean","baseMean"
"ENSG00000000419","DPM1","protein_coding","-","chr20",1.68291565307864,6.0989992238004,4.62212033920577,4.15797817991312,7.39173386236675,5.96049494638321,1.42798597644483,5.79075194661695,0,0.467920279708099,0.326065773174186,0.527879940665474,0.694660906171003,3.0249511662192,4.49522891528436,3.76009004075178
"ENSG00000000457","SCYL3","protein_coding","-","chr1",1.68291565307864,9.58414163740062,0,4.15797817991312,0,1.4901237365958,1.42798597644483,1.93025064887232,2.87187384111765,2.33960139854049,0.952121815430034,0.12222960395795,0.264935391232282,1.19655509412822,3.90041912026447,2.54848710719635
"ENSG00000000460","FIRRM","protein_coding","+","chr1",3.36583130615728,3.48514241360023,3.08141355947051,3.3263825439305,1.47834677247335,7.45061868297901,1.42798597644483,2.4128133110904,1.43593692055883,6.55088391591338,0.745659054192324,0.175349213279272,0.340278806525166,2.15790290702096,4.6451681735027,3.40153554026183
"ENSG00000000938","FGR","protein_coding","-","chr1",3.36583130615728,6.0989992238004,12.3256542378821,18.2951039916177,11.8267741797868,16.3913611025538,8.56791585866896,6.27331460883503,0,10.2942461535782,0.485904784047956,0.306379206506067,0.492539878675685,7.21723511649902,11.470605016077,9.34392006628803
"ENSG00000001036","FUCA2","protein_coding","-","chr6",0,7.84157043060051,13.8663610176173,5.82116945187837,8.87008063484009,3.72530934148951,11.4238878115586,2.4128133110904,7.17968460279413,5.61504335649719,-0.539840867858685,0.259096434890617,0.441758044780559,8.26800281336203,5.08318117831119,6.67559199583661
"ENSG00000001167","NFYA","protein_coding","+","chr6",0,3.48514241360023,1.54070677973526,0.831595635982624,0,0,0,0,0,0.935840559416198,0.351708063195955,0.480288236245314,NA,0.308141355947051,1.05051572179981,0.679328538873431
"ENSG00000001460","STPG1","protein_coding","-","chr1",0,7.84157043060051,1.54070677973526,9.97914763179149,1.47834677247335,15.6462992342559,0,1.44768798665424,1.43593692055883,2.33960139854049,2.3008754941407,0.0066394518424252,0.0283910888485794,0.890998094553486,7.45086133636853,4.17092971546101
"ENSG00000001461","NIPAL3","protein_coding","+","chr1",0,5.22771362040034,7.70353389867628,6.65276508786099,4.43504031742005,14.901237365958,2.85597195288965,2.89537597330848,1.43593692055883,4.67920279708099,0.710851895787991,0.181317986346367,0.3483076835418,3.28609661790896,6.87125896892177,5.07867779341536
"ENSG00000001497","LAS1L","protein_coding","-","chrX",0,0.871285603400057,0,0.831595635982624,0,3.72530934148951,0,0,0,0,0.547536119047623,0.356705754105125,NA,0,1.08563811617444,0.542819058087219
"ENSG00000001561","ENPP4","protein_coding","+","chr6",0,0.871285603400057,0,0,0,0,0,0.482562662218079,0,0.935840559416198,0.278023027849032,0.778794080580614,NA,0,0.457937765006867,0.228968882503433
"ENSG00000001617","SEMA3F","protein_coding","+","chr3",1.68291565307864,20.9108544816014,16.9477745770878,14.9687214476872,10.3484274073134,26.8222272587244,4.28395792933448,18.337381164287,2.87187384111765,19.6526517477402,1.26913384184575,0.00740159387564346,0.0309661828538583,7.22698988158641,20.138367220008,13.6826785507972
"ENSG00000001626","CFTR","protein_coding","+","chr7",1.68291565307864,58.3761354278038,3.08141355947051,51.5589294309227,2.9566935449467,36.5080315465972,0,10.1338159065797,1.43593692055883,19.1847314680321,3.99668483859616,6.43960923101322e-08,1.4309846329969e-06,1.83139193561094,35.1523287559871,18.491860345799
"ENSG00000001629","ANKIB1","protein_coding","+","chr7",3.36583130615728,16.5544264646011,4.62212033920577,22.4530821715309,4.43504031742005,19.3716085757454,5.71194390577931,2.89537597330848,7.17968460279413,8.89048531445388,1.1597391151082,0.0259329944452032,0.0825008175163095,5.06292409427131,14.0329956999279,9.54795989709963
"ENSG00000001631","KRIT1","protein_coding","-","chr7",1.68291565307864,4.35642801700028,9.24424067841154,9.14755199580887,2.9566935449467,14.901237365958,0,10.1338159065797,0,9.35840559416198,1.39428907495069,0.0205819214872442,0.0698722700679954,2.77676997528738,9.57948777590176,6.17812887559457
"ENSG00000002330","BAD","protein_coding","-","chr11",0,0,0,3.3263825439305,2.9566935449467,3.72530934148951,1.42798597644483,0.965125324436159,0,0.467920279708099,0.32216851760869,0.524354556570586,0.691951349368192,0.876935904278305,1.69694749791285,1.28694170109558
