"ENSEMBL","SYMBOL","gene_type","strand","chrom","dBGLF5_Latent_c2-1","dBGLF5_Early_c2-1","dBGLF5_Latent_c2-2","dBGLF5_Early_c2-2","dBGLF5_Latent_c2-3","dBGLF5_Early_c2-3","log2FoldChange","pvalue","padj","dBGLF5_Latent_groupMean","dBGLF5_Early_groupMean","baseMean"
"ENSG00000000419","DPM1","protein_coding","-","chr20",0,14.3374083612927,0,1.4001669587528,1.51129979566027,10.5434461218259,2.84523927471651,0.0065975579602407,0.0249333780890419,0.503766598553423,8.76034048062378,4.6320535395886
"ENSG00000000457","SCYL3","protein_coding","-","chr1",1.23829141323283,3.41366865745063,1.38788273693476,2.80033391750561,1.51129979566027,4.86620590238118,0.586330420704336,0.287604121351564,0.424038714023084,1.37915798194262,3.69340282577914,2.53628040386088
"ENSG00000000460","FIRRM","protein_coding","+","chr1",7.429748479397,8.19280477788152,1.38788273693476,10.501252190646,0,21.0868922436518,1.51926226668416,0.0243749996951062,0.0681762950435476,2.93921040544392,13.2603164040598,8.09976340475185
"ENSG00000000938","FGR","protein_coding","-","chr1",3.7148742396985,6.14460358341114,1.38788273693476,1.4001669587528,4.53389938698081,1.62206863412706,-0.0231809708418627,0.961569696176784,0.976780826159447,3.21221878787136,3.05561305876367,3.13391592331751
"ENSG00000001036","FUCA2","protein_coding","-","chr6",4.95316565293133,2.73093492596051,6.93941368467382,14.7017530669044,3.02259959132054,9.73241180476236,0.52016217881115,0.329042510200113,0.464509502953284,4.9717263096419,9.05503326587577,7.01337978775883
"ENSG00000001167","NFYA","protein_coding","+","chr6",0,1.36546746298025,0,0,1.51129979566027,0.81103431706353,0.0713682953064796,0.830687615683669,NA,0.503766598553423,0.725500593347928,0.614633595950675
"ENSG00000001460","STPG1","protein_coding","-","chr1",3.7148742396985,5.46186985192101,1.38788273693476,3.50041739688201,1.51129979566027,3.24413726825412,0.392956509061956,0.46061272610431,0.592641311778521,2.20468559076451,4.06880817235238,3.13674688155845
"ENSG00000001461","NIPAL3","protein_coding","+","chr1",1.23829141323283,8.87553850937165,4.16364821080429,7.00083479376402,0,6.48827453650824,1.22877619213737,0.0670065580592679,0.144261833228183,1.80064654134571,7.45488261321464,4.62776457728017
"ENSG00000001497","LAS1L","protein_coding","-","chrX",0,2.73093492596051,0,3.50041739688201,0,2.43310295119059,1.12657452752476,0.0622558027755629,0.136952778973573,0,2.88815175801104,1.44407587900552
"ENSG00000001561","ENPP4","protein_coding","+","chr6",0,2.04820119447038,0,1.4001669587528,3.02259959132054,6.48827453650824,0.563547709648818,0.274439995002719,0.410629455261145,1.00753319710685,3.31221422991047,2.15987371350866
